1,27.5,9.3
2,30.5,12.5
3,72,16.1
4,50.5,19.7
5,71,24.4
6,185,28.1
7,380,31.1
8,229,31.7
9,120.5,26
10,66.5,22.1
11,41,18
12,34,12
